"행정구역별(읍면동)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"팔달구",205106,103974,101132,184850,93140,91710,20256,10834,9422,96311,87352,77,8882,69465,8271,43078,2173,15281,662,6936
"영통구",363819,182734,181085,353547,177744,175803,10272,4990,5282,149510,145286,67,4157,111451,4117,101945,2630,2520,239,14211
"성남시",904690,447581,457109,880256,435773,444483,24434,11808,12626,386069,376179,135,9755,270581,31668,193092,10631,33672,1518,34265
"수정구",242193,122391,119802,227212,114783,112429,14981,7608,7373,111744,105193,37,6514,63475,16386,34012,1004,11531,542,4743
"중원구",203409,102340,101069,199432,100563,98869,3977,1777,2200,91445,89857,53,1535,62479,9836,30820,963,20119,741,6308
"분당구",459088,222850,236238,453612,220427,233185,5476,2423,3053,182880,181129,45,1706,144627,5446,128260,8664,2022,235,23214
"의정부시",455128,223559,231569,448321,220479,227842,6807,3080,3727,192455,189934,121,2400,167610,12210,129521,2910,21935,1034,8061
"안양시",540789,266817,273972,530406,261854,268552,10383,4963,5420,217096,213022,85,3989,185313,8523,140531,3357,31744,1158,12957
"만안구",236296,117602,118694,228367,113677,114690,7929,3925,4004,98359,95126,67,3166,77745,5997,47513,2238,21273,724,5430
"동안구",304493,149215,155278,302039,148177,153862,2454,1038,1416,118737,117896,18,823,107568,2526,93018,1119,10471,434,7527
"부천시",810142,400250,409892,768788,379671,389117,41354,20579,20775,333323,318561,210,14552,276322,16466,160632,7224,89434,2566,24536
