Business status,Address,Street name address,Business name,License date,Date of closure
영업/정상,서울특별시 양천구 목동 122-2,서울특별시 양천구 안양천로 1179 (목동),에이치디현대오일뱅크(주)직영 양천현대셀프주유소,1997-09-27,
영업/정상,서울특별시 강북구 번동 410-94 95,서울특별시 강북구 한천로 963 (번동),에이치디현대오일뱅크(주)직영 번동셀프주유소,1993-12-31,
영업/정상,서울특별시 용산구 후암동 448-103,서울특별시 용산구 소월로 66 (후암동),에이치디현대오일뱅크(주)직영 소월길주유소,1995-12-15,
영업/정상,서울특별시 양천구 신정동 151-20,서울특별시 양천구 목동로 17 (신정동),에이치디현대오일뱅크(주)직영 양천셀프주유소,1989-04-20,
영업/정상,서울특별시 도봉구 방학동 671-2,서울특별시 도봉구 방학로 151 (방학동),에이치디현대오일뱅크(주) 직영 영신주유소,1996-07-13,
폐업,"서울특별시 도봉구 쌍문동 707 9,20호 ",서울특별시 도봉구 도봉로 635 (쌍문동),정다운주유소,19950401,20220321
영업/정상,서울특별시 마포구 용강동 494-52,서울특별시 마포구 토정로 258 (용강동),그린에너지컴퍼니 용강주유소,1993-05-20,
영업/정상,서울특별시 강서구 가양동 58-2,서울특별시 강서구 양천로 391 (가양동),에이치디현대오일뱅크(주) 직영 가양주유소,1984-07-05,
폐업,서울특별시 성동구 성수동2가 331-17 ,,경수 주유소,19930720,20110829
폐업,서울특별시 성동구 성수동2가 281-7 ,서울특별시 성동구 광나루로 310  (성수동2가),화양 주유소,19931227,
폐업,서울특별시 광진구 중곡동 290-4    ,,신용석유,19820610,
휴업,서울특별시 양천구 신월동 525-1,서울특별시 양천구 남부순환로 553 (신월동),에이치디현대오일뱅크(주)직영 남부순환셀프주유소,1981-08-31,
영업/정상,서울특별시 용산구 원효로2가 70-2,서울특별시 용산구 원효로 178 (원효로2가),(주)영원에너지 풍기주유소 (대표자:박종영),1976-05-26,
영업/정상,서울특별시 서대문구 연희동 76-11,서울특별시 서대문구 연희로 184 (연희동),에이치디현대오일뱅크(주)직영 연세주유소,1993-06-16,
영업/정상,서울특별시 중구 신당동 357-6,서울특별시 중구 동호로 203 (신당동),에이치디현대오일뱅크(주)직영장원주유소,1976-04-30,
영업/정상,서울특별시 동작구 사당동 1007-47,서울특별시 동작구 동작대로 73 (사당동),에이치디현대오일뱅크(주) 직영 사당셀프주유소,1976-05-01,
영업/정상,서울특별시 강동구 명일동 305-51,서울특별시 강동구 고덕로 168 (명일동),명일주유소,1992-01-27,
영업/정상,서울특별시 용산구 보광동 264-69 ,서울특별시 용산구 보광로14길 48 (보광동),주식회사 중앙석유,20010705,
휴업,서울특별시 노원구 하계동 243-3,서울특별시 노원구 노원로17길 29 (하계동),(주)정건에너지,2001-03-24,
영업/정상,서울특별시 은평구 진관동 73-22,서울특별시 은평구 통일로 1151 (진관동),주식회사 디오티디 은평유니콘주유소,2010-05-31,
영업/정상,서울특별시 양천구 목동 516-1,서울특별시 양천구 공항대로 648 (목동),에이치디현대오일뱅크(주)직영 목동셀프주유소,1993-12-21,
영업/정상,서울특별시 양천구 신월동 951-4 ,서울특별시 양천구 지양로 67 (신월동),신양주유소,19930610,
영업/정상,"서울특별시 양천구 신정동 296-5 170,222,29,30,158,171,212,213",서울특별시 양천구 신목로7길 11 (신정동),에이치디현대오일뱅크(주)직영 신목동셀프주유소,1992-12-03,
영업/정상,서울특별시 종로구 평창동 103-1 ,서울특별시 종로구 평창문화로 137 (평창동),SK북악주유소,19930703,
영업/정상,서울특별시 종로구 홍지동 126-1 ,서울특별시 종로구 자하문로 303 (홍지동),안풍주유소,19930807,
영업/정상,서울특별시 종로구 혜화동 102-2 ,서울특별시 종로구 창경궁로35길 1 (혜화동),(주)중앙에너비스혜화지점,19751219,
영업/정상,서울특별시 종로구 명륜2가 71-2    ,,대성석유,19760625,
영업/정상,서울특별시 종로구 인의동 2 ,서울특별시 종로구 창경궁로 134-2 (인의동),인의석유,19701124,
영업/정상,서울특별시 강서구 방화동 523-22,서울특별시 강서구 개화동로 457 (방화동),(주)스카이주유소,1995-05-04,
영업/정상,서울특별시 종로구 사직동 262-85 ,서울특별시 종로구 사직로 65 (사직동),주식회사 대양씨앤씨,19731228,
영업/정상,서울특별시 강서구 내발산동 702-5,서울특별시 강서구 강서로 292 (내발산동),우장산주유소,1994-07-04,
영업/정상,서울특별시 종로구 부암동 162-1 6통6반 ,서울특별시 종로구 자하문로 245 (부암동),자문석유,19690115,
폐업,서울특별시 광진구 화양동 2-12  ,,삼원석유,19820810,
영업/정상,서울특별시 강서구 염창동 283-4,서울특별시 강서구 공항대로 653 (염창동),에이치디현대오일뱅크(주) 직영 양화교셀프주유소,1989-02-01,
영업/정상,서울특별시 종로구 관훈동 197-28 백상빌딩 별관동 1102호,"서울특별시 종로구 인사동7길 12, 백상빌딩 별관동 11층 1102호 (관훈동)",(주)진세상사,20151125,
영업/정상,서울특별시 종로구 익선동 21 ,서울특별시 종로구 돈화문로11나길 66 (익선동),재동석유상사(주),19991116,
영업/정상,"서울특별시 강서구 외발산동 379 254-10,379-3,380-3,382-3,384-6",서울특별시 강서구 방화대로 30 (외발산동),KH에너지(주)직영KH외발산주유소,2018-12-21,
폐업,"서울특별시 구로구 오류동 81-29 91,147",서울특별시 구로구 경인로 161-0 (오류동),에이치디현대오일뱅크(주)직영 신오류주유소,1994-07-02,2023-10-31
영업/정상,서울특별시 종로구 수송동 110 ,서울특별시 종로구 율곡로2길 25 (수송동),현대종합상사(주),20180808,
폐업,서울특별시 광진구 자양동 49-173 ,,서진석유,19840814,
취소/말소/만료/정지/중지,서울특별시 종로구 평창동 300-1 ,서울특별시 종로구 세검정로 317 (평창동),평창광유,19690418,
영업/정상,서울특별시 구로구 구로동 106-5,서울특별시 구로구 가마산로 293 (구로동),에이치디현대오일뱅크(주) 직영 신구로주유소,1985-08-26,
폐업,서울특별시 종로구 사직동 228 ,서울특별시 종로구 사직로 73 (사직동),한국석유,19740416,
폐업,서울특별시 종로구 평창동 157-1 ,서울특별시 종로구 평창문화로 81  (평창동),경일석유(주)세검정주유소,19741226,20101214
폐업,서울특별시 종로구 와룡동 5-10 ,서울특별시 종로구 율곡로 102 (와룡동),대성석유(주)직영비원주유소,19740604,20120217
폐업,서울특별시 종로구 창신동 23-409 ,서울특별시 종로구 창신6가길 50 (창신동),한국등유상사,19750819,
영업/정상,서울특별시 금천구 시흥동 860-36 (독산동길 220),서울특별시 금천구 독산로 147 (시흥동),에이치디현대오일뱅크(주)직영 금천현대셀프주유소,1996-07-25,
폐업,서울특별시 종로구 종로6가 148 ,서울특별시 종로구 종로41길 18,털보석유,19760623,20151120
폐업,서울특별시 광진구 구의동 215-6  ,,세양주유소,19940820,
폐업,서울특별시 종로구 숭인동 310 ,서울특별시 종로구 종로 344  (숭인동),(주)미륭상사동대문주유소,19760422,
폐업,서울특별시 종로구 와룡동 12-2 ,서울특별시 종로구 율곡로 102 (와룡동),현대오일뱅크(주)돈화문주유소,19760531,20111231
영업/정상,서울특별시 강남구 도곡동 515-2,서울특별시 강남구 논현로 152 (도곡동),에이치디현대오일뱅크(주)직영 유진주유소,1994-12-02,
폐업,서울특별시 종로구 필운동 246 ,,필운주유소,19760430,
폐업,서울특별시 종로구 창신동 629-3 ,서울특별시 종로구 창신길 125  (창신동),창신석유,19820903,
폐업,서울특별시 종로구 이화동 13-2 ,,기능석유,19880227,
영업/정상,"서울특별시 영등포구 당산동1가 5-3,4,5,6",서울특별시 영등포구 영등포로 168 (당산동1가),에이치디현대오일뱅크(주)직영 대일셀프주유소,1993-06-02,
