"Status";"Add.";"SNAdd.";"BN";"LD";"DoC"
"138";"폐업";"서울특별시 은평구 응암동 117-54 ";"서울특별시 은평구 응암로 279 (응암동)";"응암주유소";1976-05-17;"20150731"
"139";"폐업";"서울특별시 금천구 가산동 142-13 (남부순환로 1274) ";"서울특별시 금천구 남부순환로 1272 (가산동)";"성부주유소";1976-05-17;"20180822"
"140";"폐업";"서울특별시 강남구 청담동 131-5 ";NA;"대호주유소";1976-05-17;NA
"141";"영업/정상";"서울특별시 용산구 이촌동 302-79";"서울특별시 용산구 이촌로 166 (이촌동)";"한국석유공업(주) 한석주유소";1976-05-17;NA
"142";"영업/정상";"서울특별시 중구 봉래동1가 126-2";"서울특별시 중구 통일로 30 (봉래동1가)";"서남주유소";1976-05-18;NA
"143";"영업/정상";"서울특별시 구로구 개봉동 359-1 SK대원주유소 ";"서울특별시 구로구 개봉로 7, SK대원주유소 (개봉동)";"(주)새서울석유 대원";1976-05-18;NA
"144";"영업/정상";"서울특별시 영등포구 신길동 3632-2 ";"서울특별시 영등포구 신길로 74 (신길동)";"지에스칼텍스(주)신길주유소";1976-05-18;NA
"145";"휴업";"서울특별시 광진구 구의동 203-9";"서울특별시 광진구 광나루로 570 (구의동)";"대성산업(주) 구의주유소";1976-05-18;NA
"146";"폐업";"서울특별시 성동구 성수동1가 656-216 ";"서울특별시 성동구 광나루로 146  (성수동1가)";"대양산업(주) 동부 주유소";1976-05-19;NA
"147";"폐업";"서울특별시 성동구 성수동1가 656-289 ";"서울특별시 성동구 왕십리로 130  (성수동1가)";"삼오에너지(주)";1976-05-19;NA
"148";"영업/정상";"서울특별시 광진구 화양동 302-13";"서울특별시 광진구 광나루로 460 (화양동)";"(주)창원씨더블유";1976-05-19;NA
"149";"영업/정상";"서울특별시 성북구 종암동 3-545 ";"서울특별시 성북구 종암로 145 (종암동)";"지에스칼텍스(주)종암주유소";1976-05-19;NA
"150";"영업/정상";"서울특별시 구로구 구로동 602-6 ";"서울특별시 구로구 경인로 558 (구로동)";"구인주유소";1976-05-19;NA
"151";"휴업";"서울특별시 광진구 자양동 779-7";"서울특별시 광진구 자양로 103 (자양동)";"지에스칼텍스(주) 구의스타주유소";1976-05-19;NA
"152";"폐업";"서울특별시 용산구 한남동 224";"서울특별시 용산구 한남대로 45 (한남동, (43))";"한남제3한강주유소 주식회사";1976-05-19;"20221001"
"153";"영업/정상";"서울특별시 중구 장충동1가 31-1 ";"서울특별시 중구 장충단로 202 (장충동1가)";"서울석유(주) 장충주유소";1976-05-21;NA
"154";"영업/정상";"서울특별시 은평구 갈현동 1-6";"서울특별시 은평구 통일로 945 (갈현동)";"서울석유(주) 박석고개주유소";1976-05-21;NA
"155";"영업/정상";"서울특별시 성동구 성수동1가 13-11 ";"서울특별시 성동구 광나루로 184 (성수동1가)";"세원주유소";1976-05-21;NA
"156";"폐업";"서울특별시 성동구 마장동 522-6 ";"서울특별시 성동구 고산자로 348  (마장동)";"SK네트웍스(주) 경진주유소";1976-05-21;NA
"157";"폐업";"서울특별시 광진구 자양동 236-147 ";"서울특별시 광진구 동일로 50 (자양동)";"성일주유소";1976-05-21;"20191008"
"158";"폐업";"서울특별시 관악구 신림동 1428-1 ";"서울특별시 관악구 신림로 386 (신림동)";"신림주유소";1976-05-21;"20130816"
"159";"영업/정상";"서울특별시 광진구 중곡동 235-2";"서울특별시 광진구 동일로 398 (중곡동)";"에이치디현대오일뱅크(주) 직영 중원주유소";1976-05-24;NA
"160";"영업/정상";"서울특별시 도봉구 방학동 705-15";"서울특별시 도봉구 도봉로 706 (방학동)";"구도일주유소 도봉";1976-05-24;NA
"161";"영업/정상";"서울특별시 관악구 봉천동 1659-1";"서울특별시 관악구 남부순환로 1920 (봉천동)";"서일석유(주) 락성주유소";1976-05-24;NA
"162";"폐업";"서울특별시 성동구 용답동 236-1 ";"서울특별시 성동구 천호대로 446  (용답동)";"군자동 주유소";1976-05-24;NA
"163";"영업/정상";"서울특별시 용산구 서빙고동 37";"서울특별시 용산구 녹사평대로11길 24 (서빙고동)";"(주)남경주유소";1976-05-24;NA
"164";"영업/정상";"서울특별시 용산구 한남동 704-14";"서울특별시 용산구 한남대로21길 4 (한남동)";"(주)중앙에너비스 한남지점";1976-05-24;NA
"165";"영업/정상";"서울특별시 동대문구 휘경동 275-6 ";"서울특별시 동대문구 망우로 90 (휘경동)";"(주)안국에너지 삼원주유소";1976-05-24;NA
